,station ID,lat,lon
0,USC00288878,40.23333,-74.76667
1,USC00285003,40.7875,-74.77889
2,USC00067361,41.31667,-73.08333
3,USC00287301,40.737,-74.7322
4,USC00068330,41.6931,-73.06
5,USC00287545,40.83333,-74.01667
6,USC00307480,43.1,-73.83333
7,USC00283181,40.31358,-74.25106
8,USC00309660,41.26667,-73.76667
9,USC00192175,42.5742,-72.868
10,USC00194115,42.3,-72.666667
11,USC00300961,40.83718,-73.84969
12,USC00307484,43.0413,-73.82126
13,USC00306276,41.1321,-72.2584
14,USC00308577,40.8216,-73.4908
15,USC00436761,42.75,-72.93333
16,USC00307115,41.85,-74.05
17,USC00060973,41.7944,-72.932
18,USC00437612,44.0725,-72.9736
19,USW00064707,41.48333,-73.13333
20,USC00197627,42.0583,-72.0721
21,USC00437617,43.18333,-72.81667
22,USC00289608,40.9,-74.6
23,USC00065077,41.40779,-72.90273
24,USC00288648,41.325,-74.6446
25,USC00301949,41.01667,-72.5
26,USC00365470,41.3913,-74.7173
27,USC00288402,40.96667,-74.46667
28,USC00288644,41.21863,-74.62105
29,USC00300732,41.5312,-74.4803
30,USC00067373,41.7167,-73.3
31,USC00309670,41.2664,-73.7975
32,USC00307252,41.916667,-73.966667
33,USC00194340,42.2,-72.483333
34,USC00436995,43.6253,-72.9781
35,USC00308586,42.9464,-74.2886
36,USC00307134,40.96245,-72.71612
37,USC00307497,40.98333,-73.8
38,USC00288880,40.28507,-74.84204
39,USC00305199,43.61667,-75.11667
40,USC00308104,43.23333,-73.75
41,USC00306168,41.733333,-74.066667
42,USC00061715,41.9,-73.31667
43,USC00196409,42.45,-73.25
44,USC00308578,43.2761,-75.1566
45,USC00431072,44.48333,-73.18333
46,USW00004789,41.50908,-74.26458
47,USC00438815,44.31667,-72.75
48,USC00270090,43.166667,-72.416667
49,USW00004781,40.79389,-73.10181
50,USW00004783,40.18333,-74.11667
51,USC00301708,43.3203,-73.9256
52,USW00004782,42.83333,-73.91667
53,USC00368776,41.05389,-75.29028
54,USC00196996,42.677586,-72.18786
55,USC00308670,42.3541,-75.3241
56,USC00069568,41.66667,-73.13333
57,USC00307587,40.85056,-73.64833
58,USC00308304,41.53333,-73.73333
59,USC00306368,40.866667,-73.533333
60,USC00438600,42.77167,-72.515
61,USC00309516,42.3031,-74.2011
62,USC00063905,41.73333,-73.48333
63,USC00195306,42.45,-72.33333
64,USC00300957,42.8,-75.333333
65,USC00364044,41.65,-75.26667
66,USC00067157,41.25,-73.35
67,USC00368400,40.5711,-75.2781
68,USC00300958,40.683333,-73.966667
69,USC00364043,41.61667,-75.31667
70,USC00305291,42.6,-74.31667
71,USC00307472,44.33333,-74.13333
72,USC00308322,41.11278,-74.15722
73,USC00308321,41.11667,-74.11667
74,USC00193110,42.283333,-72.216667
75,USC00436893,43.8578,-72.8044
76,USC00307356,44.05,-74.63333
77,USC00272136,42.91667,-72.06667
