DATE,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,TMAX,TMIN
2021-12-01,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,5.6,-1.7
2021-12-02,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,11.1,3.9
2021-12-03,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,16.1,4.4
2021-12-04,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,10.0,2.8
2021-12-05,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,7.8,-1.1
2021-12-06,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,13.9,-1.1
2021-12-07,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,16.7,0.0
2021-12-08,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,6.7,-0.6
2021-12-09,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,5.6,-1.7
2021-12-10,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,4.4,-1.7
2021-12-11,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,11.1,1.7
2021-12-12,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,17.2,5.6
2021-12-13,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,9.4,1.7
2021-12-14,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,12.8,1.7
2021-12-15,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,12.2,1.7
2021-12-16,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,12.8,8.3
2021-12-17,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,18.3,12.2
2021-12-18,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,16.1,5.0
2021-12-19,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,10.0,5.0
2021-12-20,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,5.6,-5.0
2021-12-21,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,3.9,-5.0
2021-12-22,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,7.2,-1.7
2021-12-23,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,8.9,-2.2
2021-12-24,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,5.6,-2.2
2021-12-25,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,9.4,2.2
2021-12-26,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,12.2,7.2
2021-12-27,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,11.7,-1.1
2021-12-28,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,7.2,0.0
2021-12-29,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,7.8,3.3
2021-12-30,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,8.3,6.7
2021-12-31,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,11.1,6.1
2022-01-01,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,10.0,7.8
2022-01-02,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,13.3,9.4
2022-01-03,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,15.6,1.1
2022-01-04,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,1.7,-8.3
2022-01-05,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,1.1,-7.8
2022-01-06,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,7.8,-1.1
2022-01-07,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,5.0,-2.8
2022-01-08,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,0.6,-7.2
2022-01-09,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,0.0,-7.8
2022-01-10,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,6.7,-7.2
2022-01-11,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,0.6,-8.3
2022-01-12,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,-4.4,-10.0
2022-01-13,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,6.7,-5.0
2022-01-14,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,7.2,-2.2
2022-01-15,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,7.8,-11.1
2022-01-16,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,-6.1,-12.2
2022-01-17,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,8.9,-11.1
2022-01-18,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,6.1,-1.7
2022-01-19,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,3.9,-4.4
2022-01-20,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,11.1,-1.1
2022-01-21,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,3.9,-8.3
2022-01-22,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,-3.9,-8.3
2022-01-23,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,0.6,-8.3
2022-01-24,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,3.9,-7.2
2022-01-25,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,5.0,-5.6
2022-01-26,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,6.1,-6.7
2022-01-27,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,-1.7,-10.0
2022-01-28,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,0.6,-10.0
2022-01-29,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,2.2,-5.6
2022-01-30,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,-5.0,-13.9
2022-01-31,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,-3.9,-13.3
2022-02-01,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,0.6,-11.1
2022-02-02,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,3.9,-1.1
2022-02-03,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,7.2,0.6
2022-02-04,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,13.3,3.9
2022-02-05,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,13.9,-5.0
2022-02-06,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,0.0,-9.4
2022-02-07,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,1.1,-9.4
2022-02-08,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,3.9,1.1
2022-02-09,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,8.3,-4.4
2022-02-10,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,6.1,-4.4
2022-02-11,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,13.3,0.6
2022-02-12,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,12.8,3.3
2022-02-13,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,16.7,0.0
2022-02-14,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,1.1,-10.0
2022-02-15,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,-3.3,-10.0
2022-02-16,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,0.0,-10.0
2022-02-17,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,12.2,0.0
2022-02-18,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,16.1,10.0
2022-02-19,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,13.9,-6.7
2022-02-20,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,6.1,-7.8
2022-02-21,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,3.3,-7.2
2022-02-22,USC00285195,"MANASQUAN 1 NW, NJ US",40.13171,-74.05987,17.1,14.4,-2.2
