DATE,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,TMAX,TMIN
1932-01-01,USC00192000,"DRURY, MA US",42.652306,-72.9976,493.2,0.6,-12.2
1932-01-02,USC00192000,"DRURY, MA US",42.652306,-72.9976,493.2,-3.3,-12.2
1932-01-03,USC00192000,"DRURY, MA US",42.652306,-72.9976,493.2,1.7,-3.9
1932-01-04,USC00192000,"DRURY, MA US",42.652306,-72.9976,493.2,2.2,-12.2
1932-01-05,USC00192000,"DRURY, MA US",42.652306,-72.9976,493.2,0.0,-10.6
1932-01-06,USC00192000,"DRURY, MA US",42.652306,-72.9976,493.2,3.3,-6.7
1932-01-07,USC00192000,"DRURY, MA US",42.652306,-72.9976,493.2,11.1,2.2
1932-01-08,USC00192000,"DRURY, MA US",42.652306,-72.9976,493.2,2.8,-3.3
1932-01-09,USC00192000,"DRURY, MA US",42.652306,-72.9976,493.2,0.0,-3.3
1932-01-10,USC00192000,"DRURY, MA US",42.652306,-72.9976,493.2,2.2,-2.2
1932-01-11,USC00192000,"DRURY, MA US",42.652306,-72.9976,493.2,-1.1,-13.9
1932-01-12,USC00192000,"DRURY, MA US",42.652306,-72.9976,493.2,3.9,-16.7
1932-01-13,USC00192000,"DRURY, MA US",42.652306,-72.9976,493.2,12.8,3.9
1932-01-14,USC00192000,"DRURY, MA US",42.652306,-72.9976,493.2,17.2,7.8
1932-01-15,USC00192000,"DRURY, MA US",42.652306,-72.9976,493.2,18.9,-9.4
1932-01-16,USC00192000,"DRURY, MA US",42.652306,-72.9976,493.2,15.6,-5.6
1932-01-17,USC00192000,"DRURY, MA US",42.652306,-72.9976,493.2,6.7,-3.3
1932-01-18,USC00192000,"DRURY, MA US",42.652306,-72.9976,493.2,5.6,-5.0
1932-01-19,USC00192000,"DRURY, MA US",42.652306,-72.9976,493.2,4.4,-6.7
1932-01-20,USC00192000,"DRURY, MA US",42.652306,-72.9976,493.2,1.1,-7.8
1932-01-21,USC00192000,"DRURY, MA US",42.652306,-72.9976,493.2,2.8,-8.3
1932-01-22,USC00192000,"DRURY, MA US",42.652306,-72.9976,493.2,2.8,-7.8
1932-01-23,USC00192000,"DRURY, MA US",42.652306,-72.9976,493.2,2.2,-3.9
1932-01-24,USC00192000,"DRURY, MA US",42.652306,-72.9976,493.2,6.1,-5.0
1932-01-25,USC00192000,"DRURY, MA US",42.652306,-72.9976,493.2,2.8,-3.9
1932-01-26,USC00192000,"DRURY, MA US",42.652306,-72.9976,493.2,-0.6,-4.4
1932-01-27,USC00192000,"DRURY, MA US",42.652306,-72.9976,493.2,2.8,-3.3
1932-01-28,USC00192000,"DRURY, MA US",42.652306,-72.9976,493.2,5.6,-3.9
