DATE,STATION,LATITUDE,LONGITUDE,PRCP
1901-01-01,USC00308036,43.78333,-73.8,
1901-01-02,USC00308036,43.78333,-73.8,0.0
1901-01-03,USC00308036,43.78333,-73.8,
1901-01-04,USC00308036,43.78333,-73.8,1.3
1901-01-05,USC00308036,43.78333,-73.8,
1901-01-06,USC00308036,43.78333,-73.8,
1901-01-07,USC00308036,43.78333,-73.8,6.4
1901-01-08,USC00308036,43.78333,-73.8,
1901-01-09,USC00308036,43.78333,-73.8,
1901-01-10,USC00308036,43.78333,-73.8,8.9
1901-01-11,USC00308036,43.78333,-73.8,
1901-01-12,USC00308036,43.78333,-73.8,
1901-01-13,USC00308036,43.78333,-73.8,
1901-01-14,USC00308036,43.78333,-73.8,
1901-01-15,USC00308036,43.78333,-73.8,6.4
1901-01-16,USC00308036,43.78333,-73.8,0.0
1901-01-17,USC00308036,43.78333,-73.8,
1901-01-18,USC00308036,43.78333,-73.8,0.0
1901-01-19,USC00308036,43.78333,-73.8,
1901-01-20,USC00308036,43.78333,-73.8,0.0
1901-01-21,USC00308036,43.78333,-73.8,0.0
1901-01-22,USC00308036,43.78333,-73.8,
1901-01-23,USC00308036,43.78333,-73.8,
1901-01-24,USC00308036,43.78333,-73.8,
1901-01-25,USC00308036,43.78333,-73.8,
1901-01-26,USC00308036,43.78333,-73.8,0.0
1901-01-27,USC00308036,43.78333,-73.8,
1901-01-28,USC00308036,43.78333,-73.8,0.0
1901-01-29,USC00308036,43.78333,-73.8,
1901-01-30,USC00308036,43.78333,-73.8,0.0
1901-01-31,USC00308036,43.78333,-73.8,4.1
1901-02-01,USC00308036,43.78333,-73.8,0.0
1901-02-02,USC00308036,43.78333,-73.8,0.0
1901-02-03,USC00308036,43.78333,-73.8,0.0
1901-02-04,USC00308036,43.78333,-73.8,7.9
1901-02-05,USC00308036,43.78333,-73.8,0.0
1901-02-06,USC00308036,43.78333,-73.8,0.0
1901-02-07,USC00308036,43.78333,-73.8,0.0
1901-02-08,USC00308036,43.78333,-73.8,0.0
1901-02-09,USC00308036,43.78333,-73.8,1.5
1901-02-10,USC00308036,43.78333,-73.8,0.0
1901-02-11,USC00308036,43.78333,-73.8,0.0
1901-02-12,USC00308036,43.78333,-73.8,0.0
1901-02-13,USC00308036,43.78333,-73.8,0.0
1901-02-14,USC00308036,43.78333,-73.8,0.0
1901-02-15,USC00308036,43.78333,-73.8,0.0
1901-02-16,USC00308036,43.78333,-73.8,0.0
1901-02-17,USC00308036,43.78333,-73.8,0.0
1901-02-18,USC00308036,43.78333,-73.8,0.0
1901-02-19,USC00308036,43.78333,-73.8,0.3
1901-02-20,USC00308036,43.78333,-73.8,0.0
1901-02-21,USC00308036,43.78333,-73.8,0.0
1901-02-22,USC00308036,43.78333,-73.8,0.0
1901-02-23,USC00308036,43.78333,-73.8,0.0
1901-02-24,USC00308036,43.78333,-73.8,0.0
1901-02-25,USC00308036,43.78333,-73.8,0.0
1901-02-26,USC00308036,43.78333,-73.8,0.0
1901-02-27,USC00308036,43.78333,-73.8,0.0
1901-02-28,USC00308036,43.78333,-73.8,0.0
1901-03-01,USC00308036,43.78333,-73.8,0.0
1901-03-02,USC00308036,43.78333,-73.8,1.3
1901-03-03,USC00308036,43.78333,-73.8,1.8
1901-03-04,USC00308036,43.78333,-73.8,0.0
1901-03-05,USC00308036,43.78333,-73.8,0.0
1901-03-06,USC00308036,43.78333,-73.8,0.0
1901-03-07,USC00308036,43.78333,-73.8,0.0
1901-03-08,USC00308036,43.78333,-73.8,0.0
1901-03-09,USC00308036,43.78333,-73.8,6.9
1901-03-10,USC00308036,43.78333,-73.8,0.0
1901-03-11,USC00308036,43.78333,-73.8,27.9
1901-03-12,USC00308036,43.78333,-73.8,0.0
1901-03-13,USC00308036,43.78333,-73.8,6.6
1901-03-14,USC00308036,43.78333,-73.8,0.0
1901-03-15,USC00308036,43.78333,-73.8,6.6
1901-03-16,USC00308036,43.78333,-73.8,0.0
1901-03-17,USC00308036,43.78333,-73.8,0.0
1901-03-18,USC00308036,43.78333,-73.8,0.0
1901-03-19,USC00308036,43.78333,-73.8,0.0
1901-03-20,USC00308036,43.78333,-73.8,0.0
1901-03-21,USC00308036,43.78333,-73.8,31.8
1901-03-22,USC00308036,43.78333,-73.8,0.0
1901-03-23,USC00308036,43.78333,-73.8,0.0
1901-03-24,USC00308036,43.78333,-73.8,0.0
1901-03-25,USC00308036,43.78333,-73.8,0.0
1901-03-26,USC00308036,43.78333,-73.8,16.8
1901-03-27,USC00308036,43.78333,-73.8,0.0
1901-03-28,USC00308036,43.78333,-73.8,0.0
1901-03-29,USC00308036,43.78333,-73.8,0.0
1901-03-30,USC00308036,43.78333,-73.8,0.0
1901-03-31,USC00308036,43.78333,-73.8,0.0
1901-04-01,USC00308036,43.78333,-73.8,0.0
1901-04-02,USC00308036,43.78333,-73.8,0.0
1901-04-03,USC00308036,43.78333,-73.8,17.3
1901-04-04,USC00308036,43.78333,-73.8,0.0
1901-04-05,USC00308036,43.78333,-73.8,9.9
1901-04-06,USC00308036,43.78333,-73.8,0.0
1901-04-07,USC00308036,43.78333,-73.8,
1901-04-08,USC00308036,43.78333,-73.8,30.5
1901-04-09,USC00308036,43.78333,-73.8,0.0
1901-04-10,USC00308036,43.78333,-73.8,0.0
1901-04-11,USC00308036,43.78333,-73.8,0.0
1901-04-12,USC00308036,43.78333,-73.8,0.0
1901-04-13,USC00308036,43.78333,-73.8,0.0
1901-04-14,USC00308036,43.78333,-73.8,0.0
1901-04-15,USC00308036,43.78333,-73.8,0.0
1901-04-16,USC00308036,43.78333,-73.8,0.0
1901-04-17,USC00308036,43.78333,-73.8,0.0
1901-04-18,USC00308036,43.78333,-73.8,0.0
1901-04-19,USC00308036,43.78333,-73.8,0.0
1901-04-20,USC00308036,43.78333,-73.8,
1901-04-21,USC00308036,43.78333,-73.8,21.6
1901-04-22,USC00308036,43.78333,-73.8,
1901-04-23,USC00308036,43.78333,-73.8,18.0
1901-04-24,USC00308036,43.78333,-73.8,0.0
1901-04-25,USC00308036,43.78333,-73.8,3.0
1901-04-26,USC00308036,43.78333,-73.8,0.0
1901-04-27,USC00308036,43.78333,-73.8,0.0
1901-04-28,USC00308036,43.78333,-73.8,0.0
1901-04-29,USC00308036,43.78333,-73.8,0.0
1901-04-30,USC00308036,43.78333,-73.8,
1901-05-01,USC00308036,43.78333,-73.8,0.0
1901-05-02,USC00308036,43.78333,-73.8,7.9
1901-05-03,USC00308036,43.78333,-73.8,0.0
1901-05-04,USC00308036,43.78333,-73.8,0.0
1901-05-05,USC00308036,43.78333,-73.8,0.0
1901-05-06,USC00308036,43.78333,-73.8,0.0
1901-05-07,USC00308036,43.78333,-73.8,0.0
1901-05-08,USC00308036,43.78333,-73.8,0.0
1901-05-09,USC00308036,43.78333,-73.8,0.0
1901-05-10,USC00308036,43.78333,-73.8,0.0
1901-05-11,USC00308036,43.78333,-73.8,0.0
1901-05-12,USC00308036,43.78333,-73.8,29.0
1901-05-13,USC00308036,43.78333,-73.8,0.0
1901-05-14,USC00308036,43.78333,-73.8,0.0
1901-05-15,USC00308036,43.78333,-73.8,0.0
1901-05-16,USC00308036,43.78333,-73.8,0.0
1901-05-17,USC00308036,43.78333,-73.8,0.0
1901-05-18,USC00308036,43.78333,-73.8,0.0
