,agency_cd,site_no,datetime,Data codes,Q_m3_s_mean
0,USGS,01356000,1915-10-01,A,133.372347486
1,USGS,01356000,1915-10-02,A,83.817865936
2,USGS,01356000,1915-10-03,A,126.00996737
3,USGS,01356000,1915-10-04,A,149.22978158200002
4,USGS,01356000,1915-10-05,A,140.734727602
5,USGS,01356000,1915-10-06,A,259.665483322
6,USGS,01356000,1915-10-07,A,322.81205124
7,USGS,01356000,1915-10-08,A,242.10903843
8,USGS,01356000,1915-10-09,A,174.431775056
9,USGS,01356000,1915-10-10,A,155.176319368
10,USGS,01356000,1915-10-11,A,120.063429584
11,USGS,01356000,1915-10-12,A,93.162425314
12,USGS,01356000,1915-10-13,A,88.34856139200001
13,USGS,01356000,1915-10-14,A,96.843615372
14,USGS,01356000,1915-10-15,A,141.017896068
15,USGS,01356000,1915-10-16,A,244.94072309
16,USGS,01356000,1915-10-17,A,219.45556115
17,USGS,01356000,1915-10-18,A,153.477308572
18,USGS,01356000,1915-10-19,A,143.283243796
19,USGS,01356000,1915-10-20,A,196.80208387000002
20,USGS,01356000,1915-10-21,A,244.94072309
21,USGS,01356000,1915-10-22,A,171.31692193
22,USGS,01356000,1915-10-23,A,120.063429584
23,USGS,01356000,1915-10-24,A,112.417881002
24,USGS,01356000,1915-10-25,A,96.27727844
25,USGS,01356000,1915-10-26,A,87.215887528
26,USGS,01356000,1915-10-27,A,96.27727844
27,USGS,01356000,1915-10-28,A,107.887185546
28,USGS,01356000,1915-10-29,A,89.19806679
29,USGS,01356000,1915-10-30,A,86.932719062
30,USGS,01356000,1915-10-31,A,76.172317354
31,USGS,01356000,1915-11-01,A,94.57826764400001
32,USGS,01356000,1915-11-02,A,93.728762246
33,USGS,01356000,1915-11-03,A,78.154496616
34,USGS,01356000,1915-11-04,A,67.394094908
35,USGS,01356000,1915-11-05,A,85.23370826600001
36,USGS,01356000,1915-11-06,A,96.560446906
37,USGS,01356000,1915-11-07,A,94.295099178
38,USGS,01356000,1915-11-08,A,78.720833548
39,USGS,01356000,1915-11-09,A,91.746582984
40,USGS,01356000,1915-11-10,A,85.23370826600001
41,USGS,01356000,1915-11-11,A,71.075284966
42,USGS,01356000,1915-11-12,A,82.402023606
43,USGS,01356000,1915-11-13,A,69.37627417
44,USGS,01356000,1915-11-14,A,77.87132815
45,USGS,01356000,1915-11-15,A,80.136675878
46,USGS,01356000,1915-11-16,A,191.13871455
47,USGS,01356000,1915-11-17,A,185.192176764
48,USGS,01356000,1915-11-18,A,153.194140106
49,USGS,01356000,1915-11-19,A,122.611945778
50,USGS,01356000,1915-11-20,A,280.90311827200003
51,USGS,01356000,1915-11-21,A,331.30710522
52,USGS,01356000,1915-11-22,A,288.83183532
53,USGS,01356000,1915-11-23,A,236.44566911
54,USGS,01356000,1915-11-24,A,176.69712278400002
55,USGS,01356000,1915-11-25,A,168.202068804
56,USGS,01356000,1915-11-26,A,150.362455446
57,USGS,01356000,1915-11-27,A,156.025824766
58,USGS,01356000,1915-11-28,A,135.354526748
59,USGS,01356000,1915-11-29,A,150.362455446
60,USGS,01356000,1915-11-30,A,168.202068804
61,USGS,01356000,1915-12-01,A,171.033753464
62,USGS,01356000,1915-12-02,A,193.404062278
63,USGS,01356000,1915-12-03,A,140.45155913600001
64,USGS,01356000,1915-12-04,A,109.303027876
65,USGS,01356000,1915-12-05,A,84.384202868
66,USGS,01356000,1915-12-06,A,77.588159684
67,USGS,01356000,1915-12-07,A,93.44559378
68,USGS,01356000,1915-12-08,A,93.44559378
69,USGS,01356000,1915-12-09,A,100.24163696400001
70,USGS,01356000,1915-12-10,A,155.176319368
71,USGS,01356000,1915-12-11,A,277.221928214
72,USGS,01356000,1915-12-12,A,167.91890033800001
73,USGS,01356000,1915-12-13,A,95.710941508
74,USGS,01356000,1915-12-14,A,60.88122019
75,USGS,01356000,1915-12-15,A,52.952503142000005
76,USGS,01356000,1915-12-16,A,60.88122019
77,USGS,01356000,1915-12-17,A,79.853507412
78,USGS,01356000,1915-12-18,A,107.037680148
79,USGS,01356000,1915-12-19,A,165.370384144
80,USGS,01356000,1915-12-20,A,255.41795633200002
81,USGS,01356000,1915-12-21,A,221.437740412
82,USGS,01356000,1915-12-22,A,181.79415517200002
83,USGS,01356000,1915-12-23,A,150.07928698
84,USGS,01356000,1915-12-24,A,144.982254592
85,USGS,01356000,1915-12-25,A,139.885222204
86,USGS,01356000,1915-12-26,A,190.289209152
87,USGS,01356000,1915-12-27,A,424.752699
88,USGS,01356000,1915-12-28,A,399.26753706
89,USGS,01356000,1915-12-29,A,334.13878988
90,USGS,01356000,1915-12-30,A,232.764479052
91,USGS,01356000,1915-12-31,A,198.784263132
92,USGS,01356000,1916-01-01,A,176.130785852
93,USGS,01356000,1916-01-02,A,193.120893812
94,USGS,01356000,1916-01-03,A,291.66351998
95,USGS,01356000,1916-01-04,A,322.81205124
96,USGS,01356000,1916-01-05,A,308.65362794000004
97,USGS,01356000,1916-01-06,A,487.04976152
98,USGS,01356000,1916-01-07,A,696.59442636
99,USGS,01356000,1916-01-08,A,484.21807686
100,USGS,01356000,1916-01-09,A,382.2774291
101,USGS,01356000,1916-01-10,A,264.76251571
102,USGS,01356000,1916-01-11,A,270.99222196200003
103,USGS,01356000,1916-01-12,A,270.99222196200003
104,USGS,01356000,1916-01-13,A,241.259533032
105,USGS,01356000,1916-01-14,A,249.754587012
106,USGS,01356000,1916-01-15,A,235.59616371200002
107,USGS,01356000,1916-01-16,A,218.606055752
108,USGS,01356000,1916-01-17,A,198.784263132
109,USGS,01356000,1916-01-18,A,190.289209152
110,USGS,01356000,1916-01-19,A,173.299101192
111,USGS,01356000,1916-01-20,A,181.79415517200002
112,USGS,01356000,1916-01-21,A,198.784263132
113,USGS,01356000,1916-01-22,A,207.279317112
114,USGS,01356000,1916-01-23,A,594.6537786
115,USGS,01356000,1916-01-24,A,594.6537786
116,USGS,01356000,1916-01-25,A,458.73291492
117,USGS,01356000,1916-01-26,A,436.07943764000004
118,USGS,01356000,1916-01-27,A,614.47557122
119,USGS,01356000,1916-01-28,A,894.81235256
120,USGS,01356000,1916-01-29,A,917.46582984
121,USGS,01356000,1916-01-30,A,555.01019336
122,USGS,01356000,1916-01-31,A,421.92101434
123,USGS,01356000,1916-02-01,A,555.01019336
124,USGS,01356000,1916-02-02,A,555.01019336
125,USGS,01356000,1916-02-03,A,368.1190058
126,USGS,01356000,1916-02-04,A,267.877368836
127,USGS,01356000,1916-02-05,A,229.932794392
128,USGS,01356000,1916-02-06,A,238.427848372
129,USGS,01356000,1916-02-07,A,238.427848372
130,USGS,01356000,1916-02-08,A,210.111001772
131,USGS,01356000,1916-02-09,A,204.447632452
132,USGS,01356000,1916-02-10,A,201.61594779200001
133,USGS,01356000,1916-02-11,A,198.784263132
134,USGS,01356000,1916-02-12,A,190.289209152
135,USGS,01356000,1916-02-13,A,181.79415517200002
136,USGS,01356000,1916-02-14,A,170.46741653200002
137,USGS,01356000,1916-02-15,A,157.724835562
138,USGS,01356000,1916-02-16,A,144.982254592
139,USGS,01356000,1916-02-17,A,132.239673622
140,USGS,01356000,1916-02-18,A,127.14264123400001
141,USGS,01356000,1916-02-19,A,119.497092652
142,USGS,01356000,1916-02-20,A,119.497092652
143,USGS,01356000,1916-02-21,A,124.59412504000001
144,USGS,01356000,1916-02-22,A,139.885222204
145,USGS,01356000,1916-02-23,A,139.885222204
146,USGS,01356000,1916-02-24,A,134.788189816
147,USGS,01356000,1916-02-25,A,132.239673622
148,USGS,01356000,1916-02-26,A,173.299101192
149,USGS,01356000,1916-02-27,A,215.774371092
150,USGS,01356000,1916-02-28,A,212.94268643200002
151,USGS,01356000,1916-02-29,A,210.111001772
152,USGS,01356000,1916-03-01,A,204.447632452
