,agency_cd,site_no,datetime,Data codes,Q_m3_s_mean
0,USGS,01370520,2018-06-14,A,6.1164388656
1,USGS,01370520,2018-06-15,A,5.4934682404
2,USGS,01370520,2018-06-16,A,4.7572302288
3,USGS,01370520,2018-06-17,A,4.3607943764
4,USGS,01370520,2018-06-18,A,4.105942757
5,USGS,01370520,2018-06-19,A,4.0776259104
6,USGS,01370520,2018-06-20,A,3.7661405978
7,USGS,01370520,2018-06-21,A,3.5962395182
8,USGS,01370520,2018-06-22,A,3.7944574444
9,USGS,01370520,2018-06-23,A,3.539605825
10,USGS,01370520,2018-06-24,A,3.3413878988
11,USGS,01370520,2018-06-25,A,3.4263384386
12,USGS,01370520,2018-06-26,A,3.0015857396000003
13,USGS,01370520,2018-06-27,A,2.6787736883599997
14,USGS,01370520,2018-06-28,A,6.5695084112
15,USGS,01370520,2018-06-29,A,6.7677263374
16,USGS,01370520,2018-06-30,A,4.9837650016
17,USGS,01370520,2018-07-01,A,3.5962395182
18,USGS,01370520,2018-07-02,A,2.8883183532
19,USGS,01370520,2018-07-03,A,2.3899418530400003
20,USGS,01370520,2018-07-04,A,2.21437740412
21,USGS,01370520,2018-07-05,A,3.0299025862
22,USGS,01370520,2018-07-06,A,3.8794079842
23,USGS,01370520,2018-07-07,A,2.7467341202
24,USGS,01370520,2018-07-08,A,2.19738729616
25,USGS,01370520,2018-07-09,A,1.80944649774
26,USGS,01370520,2018-07-10,A,1.59707014824
27,USGS,01370520,2018-07-11,A,1.40451559136
28,USGS,01370520,2018-07-12,A,1.3025749436
29,USGS,01370520,2018-07-13,A,1.2091293498200002
30,USGS,01370520,2018-07-14,A,1.1524956566200002
31,USGS,01370520,2018-07-15,A,2.80903118272
32,USGS,01370520,2018-07-16,A,3.6528732114
33,USGS,01370520,2018-07-17,A,3.114853126
34,USGS,01370520,2018-07-18,A,3.4829721318
35,USGS,01370520,2018-07-19,A,3.6811900580000003
36,USGS,01370520,2018-07-20,A,2.62213999516
37,USGS,01370520,2018-07-21,A,1.9963376853
38,USGS,01370520,2018-07-22,A,2.40126859168
39,USGS,01370520,2018-07-23,A,10.2506984692
40,USGS,01370520,2018-07-24,A,20.388129552000002
41,USGS,01370520,2018-07-25,A,28.600015066
42,USGS,01370520,2018-07-26,A,50.403986948000004
43,USGS,01370520,2018-07-27,A,39.077248308
44,USGS,01370520,2018-07-28,A,31.148531260000002
45,USGS,01370520,2018-07-29,A,22.1720908878
46,USGS,01370520,2018-07-30,A,15.574265630000001
47,USGS,01370520,2018-07-31,A,11.298421793400001
48,USGS,01370520,2018-08-01,A,10.052480543
49,USGS,01370520,2018-08-02,A,9.5710941508
50,USGS,01370520,2018-08-03,A,11.5815902594
51,USGS,01370520,2018-08-04,A,38.22774291
52,USGS,01370520,2018-08-05,A,53.80200854
53,USGS,01370520,2018-08-06,A,59.465377860000004
54,USGS,01370520,2018-08-07,A,57.200030132
55,USGS,01370520,2018-08-08,A,53.518840074
56,USGS,01370520,2018-08-09,A,46.439628424
57,USGS,01370520,2018-08-10,A,31.431699726
58,USGS,01370520,2018-08-11,A,20.6996148646
59,USGS,01370520,2018-08-12,A,19.3404062278
60,USGS,01370520,2018-08-13,A,21.435852876200002
61,USGS,01370520,2018-08-14,A,49.271313084
62,USGS,01370520,2018-08-15,A,49.271313084
63,USGS,01370520,2018-08-16,A,45.873291492
64,USGS,01370520,2018-08-17,A,39.64358524
65,USGS,01370520,2018-08-18,A,35.962395182
66,USGS,01370520,2018-08-19,A,46.72279689
67,USGS,01370520,2018-08-20,A,31.714868192
68,USGS,01370520,2018-08-21,A,20.2182284724
69,USGS,01370520,2018-08-22,A,25.5134787866
70,USGS,01370520,2018-08-23,A,27.1558558894
71,USGS,01370520,2018-08-24,A,24.805557621600002
72,USGS,01370520,2018-08-25,A,19.878426313200002
