,agency_cd,site_no,datetime,Data codes,Q_m3_s_mean
0,USGS,01365550,2018-09-14,A,2.0501396938400003
1,USGS,01365550,2018-09-15,A,1.50362455446
2,USGS,01365550,2018-09-16,A,1.2034659805
3,USGS,01365550,2018-09-17,A,1.132673864
4,USGS,01365550,2018-09-18,A,9.0047572188
5,USGS,01365550,2018-09-19,A,3.5679226716
6,USGS,01365550,2018-09-20,A,2.3134863672200003
7,USGS,01365550,2018-09-21,A,1.9142188301599998
8,USGS,01365550,2018-09-22,A,2.27101109732
9,USGS,01365550,2018-09-23,A,1.5914067789200002
10,USGS,01365550,2018-09-24,A,1.38469379874
11,USGS,01365550,2018-09-25,A,8.353469747
12,USGS,01365550,2018-09-26,A,6.088122019
13,USGS,01365550,2018-09-27,A,4.3607943764
14,USGS,01365550,2018-09-28,A,8.8631729858
15,USGS,01365550,2018-09-29,A,4.4457449162
16,USGS,01365550,2018-09-30,A,3.0582194328
17,USGS,01365550,2018-10-01,A,2.42958543828
18,USGS,01365550,2018-10-02,A,8.2685192072
19,USGS,01365550,2018-10-03,A,6.1730725588
20,USGS,01365550,2018-10-04,A,3.8510911376
21,USGS,01365550,2018-10-05,A,3.0582194328
22,USGS,01365550,2018-10-06,A,2.4777240775
23,USGS,01365550,2018-10-07,A,2.22853582742
24,USGS,01365550,2018-10-08,A,1.97368420802
25,USGS,01365550,2018-10-09,A,1.9057237761799999
26,USGS,01365550,2018-10-10,A,1.70184248066
27,USGS,01365550,2018-10-11,A,8.6083213664
28,USGS,01365550,2018-10-12,A,5.2952503142000005
29,USGS,01365550,2018-10-13,A,3.539605825
30,USGS,01365550,2018-10-14,A,2.70142716564
31,USGS,01365550,2018-10-15,A,2.75522917418
32,USGS,01365550,2018-10-16,A,2.6306350491400003
33,USGS,01365550,2018-10-17,A,2.0954466484000003
34,USGS,01365550,2018-10-18,A,1.80095144376
35,USGS,01365550,2018-10-19,A,1.64520878746
36,USGS,01365550,2018-10-20,A,1.5715849863
37,USGS,01365550,2018-10-21,A,1.4300007533
38,USGS,01365550,2018-10-22,A,1.58291172494
39,USGS,01365550,2018-10-23,A,1.7358226965799999
40,USGS,01365550,2018-10-24,A,3.6811900580000003
41,USGS,01365550,2018-10-25,A,1.53194140106
42,USGS,01365550,2018-10-26,A,4.0776259104
43,USGS,01365550,2018-10-27,A,2.3502982678
44,USGS,01365550,2018-10-28,A,2.23419919674
45,USGS,01365550,2018-10-29,A,2.1379219183
46,USGS,01365550,2018-10-30,A,1.80095144376
47,USGS,01365550,2018-10-31,A,1.31106999758
48,USGS,01365550,2018-11-01,A,1.25726798904
49,USGS,01365550,2018-11-02,A,2.51453597808
50,USGS,01365550,2018-11-03,A,8.7215887528
51,USGS,01365550,2018-11-04,A,3.539605825
52,USGS,01365550,2018-11-05,A,3.3697047454
53,USGS,01365550,2018-11-06,A,7.8720833548
54,USGS,01365550,2018-11-07,A,11.2134712536
55,USGS,01365550,2018-11-08,A,3.9926753706
56,USGS,01365550,2018-11-09,A,4.4174280696
57,USGS,01365550,2018-11-10,A,5.4085177006
58,USGS,01365550,2018-11-11,A,3.7944574444
59,USGS,01365550,2018-11-12,A,3.256437359
60,USGS,01365550,2018-11-13,A,5.7766367064
61,USGS,01365550,2018-11-14,A,4.1342596036
62,USGS,01365550,2018-11-15,A,3.4829721318
63,USGS,01365550,2018-11-16,A,3.5112889784
64,USGS,01365550,2018-11-17,A,3.3697047454
65,USGS,01365550,2018-11-18,A,3.1431699726
66,USGS,01365550,2018-11-19,A,3.5679226716
67,USGS,01365550,2018-11-20,A,4.672279689
68,USGS,01365550,2018-11-21,A,3.6528732114
69,USGS,01365550,2018-11-22,A,2.8600015066
70,USGS,01365550,2018-11-23,A,2.48055576216
71,USGS,01365550,2018-11-24,A,2.5315260860400004
72,USGS,01365550,2018-11-25,A,6.6827757976
73,USGS,01365550,2018-11-26,A,7.9004002014
74,USGS,01365550,2018-11-27,A,9.8542626168
75,USGS,01365550,2018-11-28,A,5.4651513938
76,USGS,01365550,2018-11-29,A,4.1625764502000004
77,USGS,01365550,2018-11-30,A,3.5962395182
78,USGS,01365550,2018-12-01,A,3.256437359
79,USGS,01365550,2018-12-02,A,4.813863922
80,USGS,01365550,2018-12-03,A,7.1641621898
81,USGS,01365550,2018-12-04,A,3.539605825
82,USGS,01365550,2018-12-05,A,3.0865362794
83,USGS,01365550,2018-12-06,A,2.81186286738
84,USGS,01365550,2018-12-07,A,2.64196178778
85,USGS,01365550,2018-12-08,A,2.43241712294
86,USGS,01365550,2018-12-09,A,2.32764479052
87,USGS,01365550,2018-12-10,A,2.2370308814
88,USGS,01365550,2018-12-11,A,2.13225854898
89,USGS,01365550,2018-12-12,A,2.08411990976
90,USGS,01365550,2018-12-13,A,2.00766442394
91,USGS,01365550,2018-12-14,A,2.00766442394
92,USGS,01365550,2018-12-15,A,2.14075360296
93,USGS,01365550,2018-12-16,A,3.0299025862
94,USGS,01365550,2018-12-17,A,3.0015857396000003
95,USGS,01365550,2018-12-18,A,2.37295174508
96,USGS,01365550,2018-12-19,A,2.12093181034
97,USGS,01365550,2018-12-20,A,2.22853582742
