,agency_cd,site_no,datetime,Data codes,Q_m3_s_mean
0,USGS,01322500,1907-10-01,A,39.077248308
1,USGS,01322500,1907-10-02,A,25.0037755478
2,USGS,01322500,1907-10-03,A,19.3120893812
3,USGS,01322500,1907-10-04,A,21.4924865694
4,USGS,01322500,1907-10-05,A,54.368345472
5,USGS,01322500,1907-10-06,A,37.378237512
6,USGS,01322500,1907-10-07,A,30.299025862
7,USGS,01322500,1907-10-08,A,56.067356268000005
8,USGS,01322500,1907-10-09,A,165.087215678
9,USGS,01322500,1907-10-10,A,90.61390912
10,USGS,01322500,1907-10-11,A,68.243600306
11,USGS,01322500,1907-10-12,A,90.61390912
12,USGS,01322500,1907-10-13,A,74.756475024
13,USGS,01322500,1907-10-14,A,60.031714792
14,USGS,01322500,1907-10-15,A,48.988144618
15,USGS,01322500,1907-10-16,A,39.077248308
16,USGS,01322500,1907-10-17,A,34.546552852
17,USGS,01322500,1907-10-18,A,30.582194328
18,USGS,01322500,1907-10-19,A,27.523974895200002
19,USGS,01322500,1907-10-20,A,25.48516194
20,USGS,01322500,1907-10-21,A,25.0037755478
21,USGS,01322500,1907-10-22,A,23.786151144
22,USGS,01322500,1907-10-23,A,21.4924865694
23,USGS,01322500,1907-10-24,A,20.388129552000002
24,USGS,01322500,1907-10-25,A,19.3120893812
25,USGS,01322500,1907-10-26,A,18.2926829036
26,USGS,01322500,1907-10-27,A,17.8962470512
27,USGS,01322500,1907-10-28,A,198.2179262
28,USGS,01322500,1907-10-29,A,165.087215678
29,USGS,01322500,1907-10-30,A,125.16046197200001
30,USGS,01322500,1907-10-31,A,86.083213664
31,USGS,01322500,1907-11-01,A,66.261421044
32,USGS,01322500,1907-11-02,A,56.067356268000005
33,USGS,01322500,1907-11-03,A,198.2179262
34,USGS,01322500,1907-11-04,A,165.087215678
35,USGS,01322500,1907-11-05,A,126.293135836
36,USGS,01322500,1907-11-06,A,110.718870206
37,USGS,01322500,1907-11-07,A,521.02997744
38,USGS,01322500,1907-11-08,A,382.2774291
39,USGS,01322500,1907-11-09,A,182.64366057
40,USGS,01322500,1907-11-10,A,130.54066282600002
41,USGS,01322500,1907-11-11,A,109.869364808
42,USGS,01322500,1907-11-12,A,90.61390912
43,USGS,01322500,1907-11-13,A,66.54458951000001
44,USGS,01322500,1907-11-14,A,66.54458951000001
45,USGS,01322500,1907-11-15,A,55.501019336
46,USGS,01322500,1907-11-16,A,44.174280696000004
47,USGS,01322500,1907-11-17,A,41.625764502
48,USGS,01322500,1907-11-18,A,38.510911376
49,USGS,01322500,1907-11-19,A,37.944574444000004
50,USGS,01322500,1907-11-20,A,35.39605825
51,USGS,01322500,1907-11-21,A,35.962395182
52,USGS,01322500,1907-11-22,A,41.625764502
53,USGS,01322500,1907-11-23,A,59.182209394000004
54,USGS,01322500,1907-11-24,A,38.794079842
55,USGS,01322500,1907-11-25,A,38.510911376
56,USGS,01322500,1907-11-26,A,36.528732114
57,USGS,01322500,1907-11-27,A,33.413878988
58,USGS,01322500,1907-11-28,A,31.714868192
59,USGS,01322500,1907-11-29,A,32.281205124
60,USGS,01322500,1907-11-30,A,27.523974895200002
61,USGS,01322500,1907-12-01,A,25.0037755478
62,USGS,01322500,1907-12-02,A,25.48516194
63,USGS,01322500,1907-12-03,A,24.0410027634
64,USGS,01322500,1907-12-04,A,23.078229979
65,USGS,01322500,1907-12-05,A,22.65347728
66,USGS,01322500,1907-12-06,A,22.65347728
67,USGS,01322500,1907-12-07,A,21.23763495
68,USGS,01322500,1907-12-08,A,21.23763495
69,USGS,01322500,1907-12-09,A,21.23763495
70,USGS,01322500,1907-12-10,A,183.776334434
71,USGS,01322500,1907-12-11,A,210.96050717
72,USGS,01322500,1907-12-12,A,130.54066282600002
73,USGS,01322500,1907-12-13,A,86.083213664
74,USGS,01322500,1907-12-14,A,73.62380116
75,USGS,01322500,1907-12-15,A,62.297062520000004
76,USGS,01322500,1907-12-16,A,53.80200854
77,USGS,01322500,1907-12-17,A,45.30695456
78,USGS,01322500,1907-12-18,A,42.4752699
79,USGS,01322500,1907-12-19,A,39.64358524
80,USGS,01322500,1907-12-20,A,36.81190058
81,USGS,01322500,1907-12-21,A,33.98021592
82,USGS,01322500,1907-12-22,A,33.98021592
83,USGS,01322500,1907-12-23,A,53.80200854
84,USGS,01322500,1907-12-24,A,79.28717048
85,USGS,01322500,1907-12-25,A,130.25749436
86,USGS,01322500,1907-12-26,A,114.68322873
87,USGS,01322500,1907-12-27,A,90.61390912
88,USGS,01322500,1907-12-28,A,86.083213664
89,USGS,01322500,1907-12-29,A,90.61390912
90,USGS,01322500,1907-12-30,A,86.083213664
91,USGS,01322500,1907-12-31,A,141.584233
92,USGS,01322500,1908-01-01,A,118.93075572000001
93,USGS,01322500,1908-01-02,A,113.2673864
94,USGS,01322500,1908-01-03,A,90.61390912
95,USGS,01322500,1908-01-04,A,79.28717048
96,USGS,01322500,1908-01-05,A,62.297062520000004
97,USGS,01322500,1908-01-06,A,48.13863922
98,USGS,01322500,1908-01-07,A,39.64358524
