,agency_cd,site_no,datetime,Data codes,Q_m3_s_mean
0,USGS,01350212,2017-11-17,A,1.7046741653200002
1,USGS,01350212,2017-11-18,A,1.4922978158200002
2,USGS,01350212,2017-11-19,A,2.25402098936
3,USGS,01350212,2017-11-20,A,1.94819904608
4,USGS,01350212,2017-11-21,A,1.59707014824
5,USGS,01350212,2017-11-22,A,2.15774371092
6,USGS,01350212,2017-11-23,A,1.9368723074400003
7,USGS,01350212,2017-11-24,A,1.94819904608
8,USGS,01350212,2017-11-25,A,2.36162500644
9,USGS,01350212,2017-11-26,A,2.22853582742
10,USGS,01350212,2017-11-27,A,1.9793475773400002
11,USGS,01350212,2017-11-28,A,1.9255455688
12,USGS,01350212,2017-11-29,A,1.70750584998
13,USGS,01350212,2017-11-30,A,1.9935060006400003
14,USGS,01350212,2017-12-01,A,2.20588235014
15,USGS,01350212,2017-12-02,A,1.8320999750200002
16,USGS,01350212,2017-12-03,A,1.51211960844
17,USGS,01350212,2017-12-04,A,1.7839613358
18,USGS,01350212,2017-12-05,A,2.9449520464
19,USGS,01350212,2017-12-06,A,3.256437359
20,USGS,01350212,2017-12-07,A,2.6193083105
21,USGS,01350212,2017-12-08,A,2.28800120528
22,USGS,01350212,2017-12-09,A,2.1803971882
23,USGS,01350212,2017-12-10,A,2.78354602078
24,USGS,01350212,2017-12-11,A,2.55417956332
25,USGS,01350212,2017-12-12,A,2.8600015066
26,USGS,01350212,2017-12-13,A,2.00483273928
27,USGS,01350212,2017-12-14,A,1.9085554608400002
28,USGS,01350212,2017-12-15,A,1.63671373348
29,USGS,01350212,2017-12-16,A,1.0618817475
30,USGS,01350212,2017-12-17,A:e,1.01091142362
31,USGS,01350212,2017-12-18,A,1.08453522478
32,USGS,01350212,2017-12-19,A,1.24027788108
33,USGS,01350212,2017-12-20,A,1.66786226474
34,USGS,01350212,2017-12-21,A,1.25443630438
35,USGS,01350212,2017-12-22,A,1.12417881002
36,USGS,01350212,2017-12-23,A,1.6282186795
37,USGS,01350212,2017-12-24,A,2.4522389155599997
38,USGS,01350212,2017-12-25,A:e,1.8151098670599999
39,USGS,01350212,2017-12-26,A:e,1.62538699484
40,USGS,01350212,2017-12-27,A:e,1.34788189816
41,USGS,01350212,2017-12-28,A:e,1.33655515952
42,USGS,01350212,2017-12-29,A:e,1.31390168224
43,USGS,01350212,2017-12-30,A:e,1.36770369078
44,USGS,01350212,2017-12-31,A:e,1.4781393925200002
45,USGS,01350212,2018-01-01,A:e,1.6565355261
46,USGS,01350212,2018-01-02,A:e,1.75281280454
47,USGS,01350212,2018-01-03,A:e,1.5999018329
48,USGS,01350212,2018-01-04,A:e,1.4781393925200002
49,USGS,01350212,2018-01-05,A:e,1.5149512931
50,USGS,01350212,2018-01-06,A:e,1.84625839832
51,USGS,01350212,2018-01-07,A:e,2.0727931711200003
52,USGS,01350212,2018-01-08,A:e,2.03598127054
53,USGS,01350212,2018-01-09,A:e,1.86324850628
54,USGS,01350212,2018-01-10,A:e,1.7414860659
55,USGS,01350212,2018-01-11,A:e,2.11810012568
56,USGS,01350212,2018-01-12,A,7.1641621898
57,USGS,01350212,2018-01-13,A,15.121196084400001
58,USGS,01350212,2018-01-14,A:e,6.0314883258
59,USGS,01350212,2018-01-15,A:e,4.8704976152
60,USGS,01350212,2018-01-16,A:e,4.672279689
61,USGS,01350212,2018-01-17,A:e,4.8421807686000005
62,USGS,01350212,2018-01-18,A:e,5.2669334676
63,USGS,01350212,2018-01-19,A:e,9.1463414518
