1.092339432230362561e+00,7.625504010872775906e-02,4.721900198315182734e-02,1.917838543723925093e-01,3.511672225185385465e-01,1.419018175149528056e-02,3.495385721663700540e+00
1.479471060977841201e+00,3.197992120396924709e-01,2.057338377692548570e-01,6.445814359603817545e-01,1.353549698333477380e+00,6.396802792027213302e-02,3.593262386690506016e+00
5.469872124289730131e+00,7.735051759792582748e-01,1.555436063687812842e+00,1.241590874789705534e+00,2.951324709697120685e+00,1.930718189649408834e-01,8.967078312658141925e+00
4.785901065147874611e+00,1.380759170635710298e+00,4.488428013922022508e+00,1.984938038745789779e+00,5.065653290539160025e+00,4.277275483405615919e-01,4.949990543283114164e+00
3.882504644101840707e+00,1.929151051429806696e+00,7.550784940649901245e+00,2.740381405123663239e+00,4.802403529597197185e+00,7.390686864896645059e-01,3.686242815930359740e+00
3.304067895384335429e+00,2.342272557513985110e+00,7.404535824478581496e+00,3.013229396076543942e+00,3.491127733209728579e+00,1.076806030259291447e+00,3.313261124118895840e+00
2.943225651029100831e+00,2.559444509456979322e+00,5.185624911464084441e+00,3.090612960963730949e+00,2.950169862628434281e+00,1.382695564291245294e+00,3.132362954181628023e+00
2.715711417943918349e+00,2.671980589631963721e+00,3.105857551452567478e+00,2.996776790183795391e+00,2.762290240196557889e+00,1.568746919723672528e+00,2.994810985783447066e+00
2.568622567018419733e+00,2.712149504910311482e+00,2.155560752346799891e+00,2.742321070118596271e+00,2.685044975792485022e+00,1.669502489930572153e+00,2.870954988464808011e+00
2.468962444873616935e+00,2.718618998474828796e+00,1.745715477600937149e+00,2.573401577866805123e+00,2.635982089763974301e+00,1.722741497017402645e+00,2.753970274947633357e+00
2.396338190401889889e+00,2.704394709608839431e+00,1.579311161502790828e+00,2.479365494898988498e+00,2.589045697115411659e+00,1.751301176434085560e+00,2.641209275217810237e+00
2.338311064949258000e+00,2.674584083307149474e+00,1.520244012987885585e+00,2.385839396074442398e+00,2.536593213840463878e+00,1.804553405376053243e+00,2.527501053013705867e+00
2.287439292758135068e+00,2.632933148705771664e+00,1.506180783829261349e+00,2.298042095163039367e+00,2.476886339095930367e+00,1.870369439020330482e+00,2.416741514564203275e+00
2.239400384185618265e+00,2.582429875925705165e+00,1.508755659834353224e+00,2.215102308238454221e+00,2.411364674381543338e+00,1.933483424860591215e+00,2.313182708223632034e+00
2.191801544777038924e+00,2.525452096647625044e+00,1.515473923268688239e+00,2.136617214815594412e+00,2.342461144615957558e+00,1.987765955630119263e+00,2.214130779080063505e+00
2.143428331219588756e+00,2.463863881178592674e+00,1.521145634911421629e+00,2.062232215869125529e+00,2.271592633852625998e+00,2.031360294963312274e+00,2.120225451218651358e+00
2.093772122586258000e+00,2.399049042541745447e+00,1.523719980815562813e+00,1.991627232321915297e+00,2.199703372409783864e+00,2.064147414245603773e+00,2.029746362181863883e+00
2.042734708550956846e+00,2.331956332380788588e+00,1.522474154284545911e+00,1.924512941146144129e+00,2.127408932693637844e+00,2.086698339829748061e+00,1.942388921972358462e+00
